year_of_build,description,date,rieltor,district,num_of_rooms,floor_of_flat,sum_of_floors,area_of_flat,PRICE
2012,кирпичный,17.05.24,Частное лицо,Алматы,3.0,3,10,80.0,26000000
2010,монолитный,15.05.24,Частное лицо,Алматы,2.0,13,17,70.0,26000000
2023,монолитный,02.05.24,Застройщик,Алматы,2.0,10,21,63.3,24687000
2023,кирпичный,17.05.24,Частное лицо,Алматы,1.0,7,9,38.0,15800000
2013,монолитный,17.05.24,Частное лицо,Алматы,2.0,12,12,77.0,26600000
2015,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,6,6,60.0,24650000
2012,монолитный,17.05.24,"Компания ""Arbat Real Estate"" ",Алматы,1.0,7,14,51.8,22000000
1970,кирпичный,17.05.24,Агентство,Алматы,2.0,1,5,42.0,15000000
2014,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,19,41.0,25000000
2005,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,12,19,51.7,19500000
2022,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,21.0,9990000
2022,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,9,21.0,9990000
2023,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,14,15,73.5,29000000
2023,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,6,10,35.0,17000000
2014,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,12,12,53.4,21500000
1987,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,1,5,50.0,18500000
2024,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,1,14,75.0,27000000
2016,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,12,38.9,17800000
2011,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,6,20,83.0,40000000
2018,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,5,26.0,10500000
2015,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,7,18,75.8,30000000
2014,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,9,27.0,14000000
2018,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,10,10,34.0,14700000
2014,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,12,63.0,25450000
2020,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,15,23,62.55,33000000
2008,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,9,40.6,16000000
2011,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,10,10,39.6,18000000
1989,панельный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,1,5,50.0,22000000
2020,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,1,10,42.0,21000000
2021,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,12,41.8,22000000
